Designator,Comment,Layer,Footprint,Mid X,Mid Y,Rotation,Description
U1,SPV1040T,Top,SOP65P640X120-8N,20.938,38.675,0,IC BATTERY CHARGER SOLAR 8TSSOP
U2,L6924D,Top,QFN50P300X300X100-17L-D,29,16,0,Battery Charger Li-Ion/Li-Pol 30mA 4.1V 16-Pin VFQFPN EP
R13,24KO,Top,YAGEO-0805-R-L,27.5,21.5,270,"24 kOhm, ± 1%, 125 mW, 0805"
R12,3.3KO,Top,YAGEO-0805-R-L,30,21.5,270,"3.3 kOhm, ± 1%, 125 mW, 0805"
R11,470O,Top,YAGEO-0805-R-L,31.5,10.5,90,"470 Ohm, ± 1%, 125 mW, 0805"
R10,1KO,Top,YAGEO-0805-R-L,35.5,11.5,0,"1 kOhm, ± 1%, 125 mW, 0805"
R9,1KO,Top,YAGEO-0805-R-L,22,19,90,"1 kOhm, ± 1%, 125 mW, 0805"
R8,1KO,Top,YAGEO-0805-R-L,18.5,19,90,"1 kOhm, ± 1%, 125 mW, 0805"
R7,820KO,Top,YAGEO-0805-R-L,29.5,35,90,"820 kOhm, ± 1%, 125 mW, 0805"
R6,1KO,Top,YAGEO-0805-R-L,31,38.7,0,"1 kOhm, ± 1%, 125 mW, 0805"
R5,1KO,Top,YAGEO-0805-R-L,13.5,44,180,"1 kOhm, ± 1%, 125 mW, 0805"
R4,0O,Top,YAGEO-0805-R-L,18.5,44,0,"0 Ohm, 1%, 0.125W, 0805"
R3,2.2MO,Top,YAGEO-0805-R-L,32.25,36,0,"2.2 MOhm, ± 1%, 125 mW, 0805"
R2,1KO,Top,YAGEO-0805-R-L,31,41.5,0,"1 kOhm, ± 1%, 125 mW, 0805"
R1,0O,Top,YAGEO-0805-R-L,23.4442,30.6807,0,"0 Ohm, 1%, 0.125W, 0805"
L1,10uH,Top,BEAD_10UH,13,36.5,90,10 uH Power Inductor 20% 100KHz Ferrite 2.5A 0.061Ohm
JP1,J2P,Top,DIP2,33.2486,28.448,270,"2.5mm 3A  2P Straight Square Pins 6mm -40?~+105? 3mm 2.54mm Plugin Black 1x2P Plugin,P=2.54mm Pin Header"
BAT,640456-2,Top,TE_640456-2,44.7484,17.3055,270,"1x2P 1 2.54mm 2 Copper Alloy Plugin,P=2.54mm Wire To Board / Wire To Wire Connector"
PV,640456-2,Top,TE_640456-2,3.5,29.23,90,"1x2P 1 2.54mm 2 Copper Alloy Plugin,P=2.54mm Wire To Board / Wire To Wire Connector"
D3,SMD LED,Top,SMD-LED-L,18.5,14,270,516nm~525nm -30?~+85? Positive post Emerald 120° 80mW 0805
D2,SMD LED,Top,SMD-LED-L,22,14,270,516nm~525nm -30?~+85? Positive post Emerald 120° 80mW 0805
D1,TVS-MSKSEMI,Top,MSKSEMI-TVS-L,17.273,31.242,0,TVS 9.2V 6.4V 5V SMA
C9,4.7uF,Top,YAGEO-0805-C-L,32.3411,15.254,270,"4.7 uF, 50 V, ± 10%, X5R, 0805"
C8,1 nF,Top,YAGEO-0805-C-L,32.5,18.775,90,"1 nF,  50V, 10%, X7R, 0805"
C7,10 nF,Top,YAGEO-0805-C-L,29,12,0,"10 nF, 50 V, ± 10%, X7R, 0805"
C6,47uF,Top,YAGEO-0805-C-L,25,15,270,"47 uF, 6.3 V, ± 20%, X5R, 0805"
C5,1 nF,Top,YAGEO-0805-C-L,25.5,35.5,270,"1 nF,  50V, 10%, X7R, 0805"
C4,1 nF,Top,YAGEO-0805-C-L,18.5,41.5,0,"1 nF,  50V, 10%, X7R, 0805"
C3,47uF,Top,YAGEO-0805-C-L,8,29.75,270,"47 uF, 6.3 V, ± 20%, X5R, 0805"
C2,1uF,Top,YAGEO-0805-C-L,26.25,39.5,90,"1 uF, 10 V, ± 10%, X7R, 0805"
C1,10uF,Top,YAGEO-0805-C-L,23.609,28.548,180,"10 uF, 16 V, ± 10%, X5R, 0805"
